Project_007_Region,n_countries,total_population,total_gdp_usd,total_consumption_usd,median_gdp_per_capita_ppp,median_consumption_per_capita,median_consumption_pct_gdp,median_cagr_real_pct,median_inflation_pct,median_urban_pct,median_internet_pct,median_65plus_pct,global_consumption_share_pct
North America,4,376925703.0,30020039740321.812,20058224504255.863,80746.18244225826,35995.22962139205,50.5378083969945,1.5803240499224769,3.99766999081457,85.2940856079127,93.83544922,18.3949693492655,33.923969168897926
Europe,46,813981847.0,26393186997980.035,14129296116216.63,49324.244861858606,10844.6684604922,55.03605287661145,2.390097579267181,7.120422120899045,69.50679975754535,91.24723718999999,19.82810927910315,23.89652213350498
East Asia,6,1598635314.0,24946725743585.684,10791113561449.607,55078.021024702146,18604.435736989602,47.2354516965228,2.0326758365408426,2.68236938591126,86.6236227805947,90.21320037999999,16.32555052646425,18.250738178696732
South & Southeast Asia,18,2586895591.0,8172518629449.193,4730844938370.724,12753.5136308614,2106.09214536951,60.39554351348745,4.6084732424742425,3.94936537394506,41.069381050324054,73.537681155,6.3646437592394705,8.001158716618882
Latin America,25,622679573.0,6636684836291.447,4410317238958.912,21725.1794698612,5191.9868499475,66.8313379123407,2.6266594789830844,4.78561281021135,77.1080322265625,77.30039978,9.05673529338545,7.459058303378568
Middle East,18,374846624.0,4922299055694.732,2303677887734.1133,41979.5975879711,7313.541886036785,51.15760199697115,2.800214558585168,3.933695030998135,81.93326807721735,88.01921307500001,4.234518832763145,3.896152305104695
Africa,50,1229551262.0,2501168812529.493,1655722295924.0974,4559.435244715845,995.6634614939569,71.3348085357454,3.728402741895742,6.34221743124953,44.91895517165475,37.88589859,3.2752455024898,2.800281356272005
Oceania,15,35245413.0,2026245857054.0632,1047801257352.1279,8006.357080445445,7842.0103068841645,71.2973593570609,2.3841065330573286,6.35112980255182,67.751522311337,78.516197205,7.1036273181428,1.7721198375262066
