rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
35,Slovenia,SVN,Europe,54.301641225330265,5,0.18860886479179326,74.27837895712052,27.68476817982899,89.63450219525464,79.72194792965539
36,Italy,ITA,Europe,54.169826572986906,5,7.069192217464394,65.56744236900063,39.85157019661806,86.02553894934891,72.33538913250248
37,"Bahamas, The",BHS,Latin America,54.0805001013081,5,0.050412630263802265,69.37091570906014,41.70545154774709,91.79910586098464,67.47661475848481
38,Saudi Arabia,SAU,Middle East,54.02717972602068,5,2.8194324198157554,82.71599279666695,24.60429365439038,100.0,59.99617975923033
39,Seychelles,SYC,Africa,53.89471948678573,5,0.00637958427018348,90.06524893211744,21.192494907377537,84.91969209709043,73.28978191307304
40,Israel,ISR,Middle East,53.839106423244196,5,1.3165085345713061,76.89212269754023,43.43322140701375,86.0369546689932,61.516724808102495
41,Portugal,PRT,Europe,53.279438605589505,5,0.9555850773086239,71.42842758975497,29.33263802900664,84.69220586217774,79.98833646969955
42,Latvia,LVA,Europe,53.01237237399774,5,0.13068562689790442,71.40545548884646,19.72685126418613,91.58431472676114,82.2145547632971
43,Malaysia,MYS,South & Southeast Asia,52.70045329939717,5,1.283060460231785,84.86623940759017,13.932686031824737,97.51445563493445,65.90582496240467
44,Czechia,CZE,Europe,52.204900258922976,5,0.8651336493979259,69.45950505569365,18.66078734817253,84.91188319954237,87.12719204180837
45,Oman,OMN,Middle East,51.8865274672403,5,0.21193485532361658,80.15676160955346,15.892701229955723,94.88482571156987,68.28641392979881
46,Costa Rica,CRI,Latin America,51.50364975254022,5,0.30161108047911717,76.7521912993849,18.40299655389356,84.26670919532849,77.79474063361504
47,Romania,ROU,Europe,51.48087843045736,5,1.1341919077025977,83.36130341992356,17.190376243270588,88.36915596966269,67.34936461172735
48,Kuwait,KWT,Middle East,51.470193770541485,5,0.33535210303834734,72.00109875002661,22.10049743894869,99.72778734189865,63.18623321879508
49,Kiribati,KIR,Oceania,51.46885105546689,5,0.0007386826934773284,96.44185137261738,4.650310219352883,87.07282418700399,69.17853081566673
50,Chile,CHL,Latin America,51.40828062120654,5,1.0774944093660401,73.08728657506354,18.651360308656916,94.02917820676342,70.19608360618277
51,Poland,POL,Europe,50.89445989635127,5,2.485833316914567,76.3270683509449,20.14954058612302,85.36508393528676,70.14477329248713
52,Slovak Republic,SVK,Europe,50.81910857972916,5,0.4128877598215471,74.35377981280377,21.98978615678554,86.2251615832443,71.11392758599064
53,Greece,GRC,Europe,50.787513940305075,5,0.8914595375738397,70.71703897314796,30.868471070600556,83.85204300255654,67.60855711764647
54,Bahrain,BHR,Middle East,50.723148618530786,5,0.09433763917777052,70.45180385549995,22.792465456316762,100.0,60.27713614165948
55,Hungary,HUN,Europe,50.3316846701032,5,0.555262088390188,77.85875165801492,17.298502886283377,90.78946404220997,65.15644267561755
56,Bhutan,BTN,South & Southeast Asia,50.06467650815917,5,0.008502250832013072,84.06587283802928,2.9523258022084664,89.25040743747226,74.04627421225383
57,Greenland,GRL,North America,49.85531610861434,4,0.00476194540239047,67.112467358664,38.561862942363035,,93.74217218802792
58,Palau,PLW,Oceania,49.377970690722485,5,0.00019518826604803915,63.043885042178246,20.512600649359417,81.59633162881022,81.73684094499849
59,Croatia,HRV,Europe,49.36119158016741,5,0.25621898658748765,74.0185370061417,20.554275668251847,81.94631130030594,70.03061493955003
60,Puerto Rico (US),PRI,Latin America,49.10379842287025,4,0.48944126804968113,73.77798905447935,53.208682936686145,,68.93908043226583
61,Montenegro,MNE,Europe,48.818901419978346,5,0.029460354116147187,80.27949525158058,14.854842858902973,87.6670407831062,61.26366785218582
62,Virgin Islands (U.S.),VIR,Latin America,48.31580428435129,4,0.01610894649728095,63.91818860907838,49.53594652015537,,79.79297306167412
63,Maldives,MDV,South & Southeast Asia,47.79438513178171,5,0.016995653658676467,89.65141654891943,11.305591796741881,83.3593875997833,54.63853405980523
64,Mauritius,MUS,Africa,47.76961693692052,5,0.05128896433840615,68.10985606421892,14.861961853480777,77.91607465279849,77.90890314976603
65,Dominican Republic,DOM,Latin America,47.34605546978288,5,0.434599281929896,80.60766177432525,12.190103570370304,85.05499946742631,58.44291325486266
66,Turkiye,TUR,Middle East,47.293773687687995,5,3.2732266595057493,89.25253220419582,20.497631083623567,84.87600314439668,38.56947534671816
67,Georgia,GEO,Middle East,47.152600382985554,5,0.11580558707236044,82.8779279061852,9.004509085891373,80.48454961927455,63.28020971650429
68,Guam,GUM,Oceania,46.832668612558635,4,0.020988688522764372,66.61400043682181,42.5400769859939,,78.15560833889604
69,Kazakhstan,KAZ,Europe,46.51293099235774,5,0.7174495303183173,75.97953486531425,12.901075320943939,92.32821773090043,50.63837751431174
70,Mongolia,MNG,East Asia,46.36309529357705,5,0.047055767169774776,83.48259687773087,5.700045018664709,82.48712640102876,60.09865240329113
71,Bulgaria,BGR,Europe,46.227149920073906,5,0.31184233562260066,77.18650776552988,13.132829932983903,78.87437117277857,61.63019839345459
72,North Macedonia,MKD,Europe,46.09639939549862,5,0.056622740042371035,76.03800536397416,9.625515521841171,87.61145651254549,57.15039683908992
73,Fiji,FJI,Oceania,45.83980182964151,3,0.0193079995628367,,,72.11618572740643,65.38391176195523
74,Uzbekistan,UZB,Europe,45.78404183516029,5,0.36443468194811657,92.54204303356265,6.1909340234671015,88.16475091630261,41.65804652052097
