cluster,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_cagr_2013_2023_real_pct,internet_users_pct_of_population,urban_population_pct,inflation_cpi_annual_pct,population_total,n_countries
0,6238.64805942395,1332.203235391985,4.289363171606386,45.381549835,42.693985592335196,6.346673616900675,14258251.0,54
1,21415.80217112755,7704.96299641123,-0.44617128034316056,85.46743688000001,91.32346032277525,177.41528980877,25655947.0,2
2,71623.785419098,22906.4179237624,2.102274094005163,95.44719696,85.1854212679815,4.04901077613941,8888822.0,35
3,25200.068112272,5311.63027353821,2.673918177717871,84.15060238,70.2923026891431,6.09114152504141,7305659.0,55
