ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct,cluster,pca1,pca2
BFA,Burkina Faso,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,23025776.0,27.7872478365158,2.62071297835956,81.8908186351026,20106062971.6533,873.198061670247,2761.57633646549,12885521524.4413,11001239987.6431,477.779336845939,559.6129105243315,64.087740810362,2.764680943502173,3.1669891922543325,2013.0,2023.0,0.742910428668918,3.601,25.36120033,0.0217929575385682,0.7782417109536831,0,-2.63866474508158,-0.20769856107914958
BGD,Bangladesh,2023,South & Southeast Asia,South Asia,Southern Asia,171466990.0,32.1578465036834,6.32054805417649,53.0958193080833,437415333018.291,2551.01773827307,9155.31731992295,299958948132.06,216469738741.462,1262.45721547606,1749.368482715303,68.5753162931573,1.9849663018375985,5.358278064186517,2013.0,2023.0,9.8835030377921,3.352,44.50274195,0.5073130030132029,6.340494183167292,0,-2.3093786889762935,-0.5665181278359245
BGR,Bulgaria,2023,Europe,Europe & Central Asia,Eastern Europe,6446596.0,73.7322671584613,21.8324383446666,57.1601451805102,102204457334.822,15854.0192893772,38829.297423161,58916359137.1963,42257485763.1347,6555.00759829447,9139.142446214451,57.6455867714129,4.945109477134513,3.472914669617766,2013.0,2023.0,9.44284140088564,4.319,80.38956462,0.0996437521421646,0.4169801429073043,3,0.305843712262684,-0.08115045655296242
BHR,Bahrain,2023,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,1577059.0,100.0,3.63800440284889,29.2488272145239,46192260638.2979,29290.1284215098,64223.977053306,17953780585.1064,17715777972.0523,11233.4275205,11384.342998649005,38.8675079699844,4.66792559262017,1.7353702153334538,2013.0,2023.0,0.0746206782192256,1.049,100.0,0.0303647762495169,0.779352906962425,2,2.1505150653359695,0.00652650410456908
BHS,"Bahamas, The",2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,399440.0,81.3213799173676,11.4979577684286,42.5030859572889,15271300000.0,38231.774484278,39122.340470849,9681400000.0,8145976720.55665,20393.4926911592,24237.432405367515,63.3960435588326,9.064240190033622,1.4565025428065148,2013.0,2023.0,3.05291578969743,8.645,92.38729858,0.0163739076228847,0.2195170885776318,2,1.6517596484706634,0.11521645697780196
BIH,Bosnia and Herzegovina,2023,Europe,Europe & Central Asia,Southern Europe,3185073.0,51.5657239834305,21.642423894209,53.5210215348666,27592361498.4057,8663.02326458629,23376.3069324282,19235275975.1117,15651130031.2899,4913.89994241572,6039.194698241358,69.7123222897147,3.500749313460161,1.796239052755677,2013.0,2023.0,6.1059011284828,10.668,83.3771539,0.032532137079056,0.1361375387485493,3,-0.2735392125986903,0.26646784940773444
BLR,Belarus,2023,Europe,Europe & Central Asia,Eastern Europe,9178298.0,78.8146420666327,17.0619745317958,50.9143686597634,72478760370.4258,7896.75388295584,30859.5916206484,39089829916.7041,38266184678.2747,4169.20268641034,4258.941027705148,53.9328069587877,8.065882580240258,2.701390710644102,2013.0,2023.0,5.0005990309131,3.461,91.51249979,0.0661116433625703,0.2766580132172295,3,0.4832608491193592,0.08351345867383134
BLZ,Belize,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,411106.0,41.9459437504976,4.84133634796907,46.7004478384213,3052362650.0,7424.75821321022,13741.2085585188,1943535200.0,1641071878.62449,3991.84608987582,4727.576829333554,63.6731418529184,1.0363843708293352,2.659797482589643,2013.0,2023.0,4.38984017487675,8.278,70.18720245,0.0032870520613366,0.0440679228884402,0,-1.0520360560659996,-0.015914274429467117
BOL,Bolivia,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,12244159.0,70.9151414044538,5.55046673477261,55.5037371721243,52340206946.4544,4274.70820547613,12902.7509503368,36097007727.9305,26673536407.6905,2178.47027367829,2948.1002107152067,68.9661157909804,2.5962491849047757,2.7382116330380457,2013.0,2023.0,2.57688800489192,3.024,77.30039978,0.0610499586836294,0.8184673748424379,3,-0.36213235376061825,0.09299483911956334
BRA,Brazil,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,211140729.0,87.6159710235763,10.6336314676644,44.0290947589819,2191131765684.63,10377.5892792557,21193.0721417478,1378754834473.95,1254297015991.6,5940.57348353476,6530.027820799794,62.924323222668,3.2397615108792577,0.7423196055250214,2013.0,2023.0,4.59356282283204,7.947,84.15060238,2.3318532747621403,31.26203308674945,3,0.7167581600672968,0.7342566434011475
BRN,Brunei Darussalam,2023,South & Southeast Asia,East Asia & Pacific,South-eastern Asia,458949.0,74.8199193881365,6.51107912979343,37.998646921747,15095084656.1634,32890.5491812019,85102.6867427911,4165446659.91601,4421629710.2046,9634.25066882072,9076.055639986163,27.5947220886584,11.054127468483088,5.762981882445772,2013.0,2023.0,0.35706431153689,5.296,98.97039795,0.0070449148694939,0.0880486829346507,2,1.3198067289014528,-1.4081995701878134
BTN,Bhutan,2023,South & Southeast Asia,South Asia,Southern Asia,786385.0,41.7352457989939,6.36869980988956,38.5621629050646,3012896789.79753,3831.32535564326,16228.5169143762,1788433835.66703,1277338582.19843,1624.31707395032,2274.247138064726,59.3592798041788,7.210313538702784,5.247781507180838,2013.0,2023.0,4.22934419929251,3.126,90.02140045,0.0030247330360127,0.0378036874800414,0,-1.0752894478835846,-0.7813203844917828
CAF,Central African Republic,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,5152421.0,43.6983692134165,2.09527735556521,105.177562449203,2555492085.94725,495.978897288721,1258.13048389217,2488154869.41114,2404126806.66887,466.601391204032,482.9098533313058,97.3649999972063,-4.565662639615131,6.02809311349517,2013.0,2023.0,2.97913852618937,6.181,13.8416996,0.0042081535710918,0.1502760985665438,0,-2.868031207351567,-0.8400503718091368
CAN,Canada,2023,North America,North America,Northern America,40049088.0,82.5250564408346,19.3581192161771,53.0518429925194,2196593836347.42,54847.5370112652,64962.1919440095,1220073677750.06,1074792574057.88,26836.8801321487,30464.455963393222,55.5438906165214,2.2638212254588064,2.2868221615249595,2013.0,2023.0,3.87900159788426,5.415,94.14530182,2.0634798368616853,6.082660394449121,2,2.352429341864628,-0.3373289671107022
CHE,Switzerland,2023,Europe,Europe & Central Asia,Western Europe,8888822.0,85.1854212679815,19.6113808360035,52.9575219043034,928435275851.707,104449.75451772,93939.7784980038,453113313448.119,402404623481.285,45270.8608048721,50975.631354539335,48.8039743031577,1.406538872580465,1.2027508387122632,2013.0,2023.0,2.13540088016387,4.043,97.34436623,0.7663391180096593,3.2069064850871576,2,3.9969123044058947,-0.5031142624392461
CHL,Chile,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,19658835.0,88.8158617217972,13.6933190598527,45.0908347497625,335802745366.38,17081.5180740049,33173.5278418356,203111329300.709,181407394695.136,9227.77950448923,10331.80904670643,60.4853093381066,-4.688378525688075,2.4153211745612246,2013.0,2023.0,7.58168251407962,9.013,94.45742345,0.3435170681028704,4.605367784124639,3,1.0906259130350882,0.2308142378151789
CHN,China,2023,East Asia,East Asia & Pacific,Eastern Asia,1410710000.0,65.5301448035523,14.3160774690688,44.7297141014082,18270356654533.2,12951.1782397043,25200.068112272,7229259522659.38,7197427910274.78,5101.98971459392,5124.553964074388,39.568245214664,9.654408543286651,7.13449799250554,2013.0,2023.0,0.234836828893051,4.67,90.6,12.226664284698954,66.9927110070024,3,-0.4247396690429219,-1.430995304211419
CIV,Cote d'Ivoire,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,31165654.0,53.4075201638704,2.56824227080234,78.0774744464329,80780312569.1646,2591.9659048119,7243.14676270142,56659039298.9429,45957190597.3991,1474.61017815956,1817.996160098001,70.1396633621975,10.198916182084217,6.777087048890351,2013.0,2023.0,4.36972254867474,2.263,40.65284979,0.0958260040368424,3.4220134281226287,0,-2.082439872374985,-1.0329441025298949
