DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP043,XDC,V,N,T0117,2021,209,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP021,XDC,V,N,T0117,2021,3801,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP042,XDC,V,N,T0117,2021,22060,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP062,XDC,V,N,T0117,2021,2571,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP072,XDC,V,N,T0117,2021,7824,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP122_127,XDC,V,N,T0117,2021,1348,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP082,XDC,V,N,T0117,2021,478,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0117,2021,1653,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP04,XDC,V,N,T0117,2021,37085,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP111,XDC,V,N,T0117,2021,5710,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP063,XDC,V,N,T0117,2021,942,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP022,XDC,V,N,T0117,2021,1803,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP052,XDC,V,N,T0117,2021,542,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP127,XDC,V,N,T0117,2021,1173,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,_T,XDC,V,N,T0117,2021,121178,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP06,XDC,V,N,T0117,2021,5540,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP092,XDC,V,N,T0117,2021,963,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP03,XDC,V,N,T0117,2021,4641,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP045,XDC,V,N,T0117,2021,6039,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP09,XDC,V,N,T0117,2021,11067,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP091,XDC,V,N,T0117,2021,1389,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP095,XDC,V,N,T0117,2021,1246,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP044,XDC,V,N,T0117,2021,707,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP056,XDC,V,N,T0117,2021,1313,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP011,XDC,V,N,T0117,2021,13308,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP122,XDC,V,N,T0117,2021,175,,F,1,A,6,EUR
