iso3,year,regulatory_quality_score
BLZ,2016,47.5300213
BLZ,2015,46.9180207
BLZ,2014,46.1329588
BLZ,2013,49.6826719
BEN,2023,51.1412381
BEN,2022,50.352593
BEN,2021,48.8810138
BEN,2020,47.9807811
BEN,2019,47.1388853
BEN,2018,47.7352989
BEN,2017,47.65019
BEN,2016,47.4753859
BEN,2015,46.3710647
BEN,2014,46.0716774
BEN,2013,45.8641918
BMU,2023,64.7546064
BMU,2022,68.4798333
BMU,2021,68.5677148
BMU,2020,68.6006897
BMU,2019,68.6826695
BMU,2018,68.634521
BMU,2017,68.6167623
BMU,2016,68.5735707
BMU,2015,64.7981576
BMU,2014,64.6235806
BMU,2013,77.7557281
BTN,2023,53.139843
BTN,2022,53.138064
BTN,2021,54.1509693
BTN,2020,54.3747784
BTN,2019,53.7658375
BTN,2018,54.1177752
BTN,2017,52.835177
BTN,2016,49.4322817
BTN,2015,48.5293474
BTN,2014,43.3883248
BTN,2013,41.6055107
BOL,2023,36.5763233
BOL,2022,36.925143
BOL,2021,37.2460993
BOL,2020,38.2868348
BOL,2019,39.4764951
BOL,2018,41.4800081
BOL,2017,41.7842577
BOL,2016,41.6249128
BOL,2015,41.9086485
BOL,2014,41.5779297
BOL,2013,41.3522312
BIH,2023,49.379531
BIH,2022,48.8771892
BIH,2021,48.8734072
BIH,2020,48.961795
BIH,2019,48.9215763
BIH,2018,49.8822151
BIH,2017,52.2061797
BIH,2016,51.0160225
BIH,2015,50.905386
BIH,2014,51.9304952
BIH,2013,51.6867968
BWA,2023,61.9054882
BWA,2022,62.5104152
BWA,2021,62.1175665
BWA,2020,61.0005604
BWA,2019,61.6395915
BWA,2018,63.6453172
BWA,2017,63.3587978
BWA,2016,64.7668766
BWA,2015,64.4348708
BWA,2014,66.2711026
BWA,2013,67.1693907
BRA,2023,51.1409432
BRA,2022,51.7253658
BRA,2021,52.480175
BRA,2020,52.4673449
BRA,2019,53.2947815
BRA,2018,51.00996
BRA,2017,53.1856369
BRA,2016,53.3451223
BRA,2015,53.3435278
BRA,2014,54.2871366
BRA,2013,56.9133194
BRN,2023,67.6044091
BRN,2022,68.5126647
BRN,2021,68.5386639
BRN,2020,67.6373934
BRN,2019,67.5006252
BRN,2018,68.5877855
BRN,2017,68.474788
BRN,2016,67.1702581
BRN,2015,69.8175163
BRN,2014,70.8585578
BRN,2013,71.8700484
BGR,2023,60.4109253
BGR,2022,58.7677262
BGR,2021,59.9558394
BGR,2020,59.7158504
BGR,2019,62.0869905
BGR,2018,62.4588537
BGR,2017,63.3471443
BGR,2016,63.6382374
BGR,2015,61.4525377
BGR,2014,59.7245042
BGR,2013,59.5366066
BFA,2023,47.2564533
BFA,2022,47.0137659
BFA,2021,47.623265
BFA,2020,46.9913642
BFA,2019,47.4892395
BFA,2018,48.1794332
BFA,2017,48.3034391
BFA,2016,48.1551278
BFA,2015,48.2506585
BFA,2014,49.2997245
BFA,2013,50.6912842
BDI,2023,40.9409173
BDI,2022,40.3473772
BDI,2021,39.0907215
BDI,2020,38.8207368
BDI,2019,40.2556522
BDI,2018,39.4725223
BDI,2017,41.3901126
BDI,2016,40.7826274
BDI,2015,41.0247897
BDI,2014,41.3054989
BDI,2013,39.4826444
CPV,2023,56.3875681
CPV,2022,56.3856045
CPV,2021,55.9002501
CPV,2020,54.8975316
CPV,2019,54.0093057
CPV,2018,51.5976394
CPV,2017,52.6682492
CPV,2016,51.9956943
CPV,2015,51.4960983
CPV,2014,51.7768627
CPV,2013,51.9857993
KHM,2023,44.197569
KHM,2022,43.9068717
KHM,2021,44.0035363
KHM,2020,43.8788806
KHM,2019,44.6235266
KHM,2018,45.5449009
KHM,2017,45.336909
KHM,2016,45.916045
KHM,2015,44.8845957
KHM,2014,45.207924
KHM,2013,47.1168211
CMR,2023,43.2015391
CMR,2022,42.9562951
CMR,2021,41.9819588
CMR,2020,43.0934355
CMR,2019,42.6681418
CMR,2018,42.6462258
CMR,2017,42.3892305
CMR,2016,43.608631
CMR,2015,42.8972295
CMR,2014,42.1138993
CMR,2013,40.372602
CAN,2023,79.6626569
CAN,2022,80.6051381
CAN,2021,80.5966057
CAN,2020,79.9847535
CAN,2019,81.400546
CAN,2018,80.7639121
CAN,2017,83.9445913
CAN,2016,82.7862861
