iso3,year,political_stability_score
BLZ,2017,66.3634062
BLZ,2016,66.3581587
BLZ,2015,66.4328634
BLZ,2014,66.4493403
BLZ,2013,67.4192182
BEN,2023,60.6055079
BEN,2022,58.4245958
BEN,2021,58.8795864
BEN,2020,61.0570087
BEN,2019,62.5126327
BEN,2018,68.7128078
BEN,2017,71.2851516
BEN,2016,70.0281952
BEN,2015,67.9015838
BEN,2014,68.2365557
BEN,2013,71.5550204
BMU,2023,82.6148254
BMU,2022,82.6044449
BMU,2021,82.5406007
BMU,2020,82.5776934
BMU,2019,82.5871481
BMU,2018,82.5699367
BMU,2017,79.7758327
BMU,2016,79.7676814
BMU,2015,79.8342176
BMU,2014,79.8609401
BMU,2013,82.1352646
BTN,2023,88.6516184
BTN,2022,88.4837541
BTN,2021,81.9371556
BTN,2020,84.9479261
BTN,2019,85.7792773
BTN,2018,84.943449
BTN,2017,84.987979
BTN,2016,84.8787832
BTN,2015,82.9449359
BTN,2014,85.6634162
BTN,2013,79.169757
BOL,2023,60.9437372
BOL,2022,62.9801202
BOL,2021,61.0096773
BOL,2020,59.3078973
BOL,2019,53.0155277
BOL,2018,62.6256651
BOL,2017,62.1237854
BOL,2016,61.4628881
BOL,2015,62.8995122
BOL,2014,60.806572
BOL,2013,61.5128261
BIH,2023,62.4793902
BIH,2022,61.657193
BIH,2021,60.5871127
BIH,2020,61.298956
BIH,2019,60.6128666
BIH,2018,60.9490035
BIH,2017,60.5803364
BIH,2016,59.5572972
BIH,2015,61.5368736
BIH,2014,64.8606336
BIH,2013,58.1485349
BWA,2023,83.1933485
BWA,2022,84.3398245
BWA,2021,83.9533789
BWA,2020,84.4026182
BWA,2019,85.6050279
BWA,2018,82.8874409
BWA,2017,83.2599018
BWA,2016,82.698679
BWA,2015,85.2287134
BWA,2014,85.5467352
BWA,2013,86.1754287
BRA,2023,56.9850729
BRA,2022,58.7919168
BRA,2021,59.1936982
BRA,2020,58.5933483
BRA,2019,53.5594912
BRA,2018,54.8735087
BRA,2017,55.6089843
BRA,2016,56.9027106
BRA,2015,57.4235354
BRA,2014,61.7708061
BRA,2013,59.6486308
BRN,2023,88.6964047
BRN,2022,85.982082
BRN,2021,85.763733
BRN,2020,85.7863149
BRN,2019,84.6510273
BRN,2018,85.452549
BRN,2017,84.3220613
BRN,2016,83.54484
BRN,2015,86.446939
BRN,2014,87.360603
BRN,2013,82.3519994
BGR,2023,71.2660202
BGR,2022,71.4796205
BGR,2021,72.8363232
BGR,2020,73.0865465
BGR,2019,75.7815088
BGR,2018,76.0222279
BGR,2017,72.8319025
BGR,2016,69.4354757
BGR,2015,69.0099166
BGR,2014,70.0293534
BGR,2013,68.8062834
BFA,2023,31.0083522
BFA,2022,34.7884454
BFA,2021,38.9026684
BFA,2020,41.7072486
BFA,2019,45.469811
BFA,2018,49.4637727
BFA,2017,51.2782554
BFA,2016,50.3947575
BFA,2015,54.2871828
BFA,2014,53.9401871
BFA,2013,52.3153016
BDI,2023,43.9613519
BDI,2022,44.0146516
BDI,2021,42.3498686
BDI,2020,40.3528211
BDI,2019,37.380141
BDI,2018,38.1593506
BDI,2017,30.1866725
BDI,2016,29.9083295
BDI,2015,31.1085528
BDI,2014,47.7581237
BDI,2013,37.2704925
CPV,2023,80.7415683
CPV,2022,80.173998
CPV,2021,80.1387552
CPV,2020,80.2264026
CPV,2019,80.231621
CPV,2018,80.2221202
CPV,2017,78.1987005
CPV,2016,80.0349179
CPV,2015,80.3031075
CPV,2014,76.9207474
CPV,2013,79.6449552
KHM,2023,68.1942975
KHM,2022,64.6317965
KHM,2021,63.3545387
KHM,2020,61.7916098
KHM,2019,62.5885672
KHM,2018,64.0932632
KHM,2017,63.2663412
KHM,2016,64.5644489
KHM,2015,63.1866709
KHM,2014,61.4052155
KHM,2013,59.5617435
CMR,2023,38.3858407
CMR,2022,36.939668
CMR,2021,38.9279612
CMR,2020,38.1952254
CMR,2019,38.2687805
CMR,2018,40.7993905
CMR,2017,45.5083351
CMR,2016,46.3802722
CMR,2015,47.3930506
CMR,2014,50.1503044
CMR,2013,51.6938747
CAN,2023,76.6008039
CAN,2022,74.5623814
CAN,2021,78.8835053
CAN,2020,82.045178
CAN,2019,81.3392569
CAN,2018,81.902439
CAN,2017,83.3042064
CAN,2016,85.7484945
CAN,2015,86.0984726
CAN,2014,85.7536891
CAN,2013,83.2379093
CYM,2023,90.9493533
CYM,2022,90.9412618
CYM,2021,90.8915031
CYM,2020,87.6721629
CYM,2019,87.6795319
CYM,2018,82.6074581
CYM,2017,82.5468526
CYM,2016,82.5382366
CYM,2015,87.6669274
CYM,2014,87.687755
CYM,2013,87.0607133
CAF,2023,33.8805396
CAF,2022,33.4008933
CAF,2021,28.8455909
CAF,2020,26.0838429
CAF,2019,34.2446868
CAF,2018,33.5480547
CAF,2017,34.6946725
CAF,2016,36.8824737
CAF,2015,33.6022017
CAF,2014,23.4252011
CAF,2013,29.1833198
TCD,2023,37.1304216
TCD,2022,37.7241132
TCD,2021,37.038907
TCD,2020,41.0848275
TCD,2019,41.0898392
TCD,2018,42.657761
TCD,2017,42.5316168
TCD,2016,42.9758871
TCD,2015,46.7159018
TCD,2014,43.1917592
TCD,2013,45.5821481
CHL,2023,67.3918808
CHL,2022,65.8191317
CHL,2021,68.3937218
CHL,2020,68.2219116
CHL,2019,68.7252227
CHL,2018,77.4109534
CHL,2017,75.9626148
CHL,2016,76.036093
CHL,2015,77.4767227
CHL,2014,78.1672106
CHL,2013,75.7046809
CHN,2023,62.9144825
CHN,2022,61.6400806
CHN,2021,61.4673891
CHN,2020,60.7244539
CHN,2019,63.5270765
CHN,2018,61.8459925
CHN,2017,62.4219089
CHN,2016,57.3289648
CHN,2015,56.5636835
CHN,2014,56.9460927
CHN,2013,56.2820438
COL,2023,52.2402416
COL,2022,52.0722697
COL,2021,48.5602739
COL,2020,54.2459136
COL,2019,50.4304751
COL,2018,54.5255309
COL,2017,52.5716247
COL,2016,50.9727937
COL,2015,49.5727208
COL,2014,48.8925418
COL,2013,43.7037921
COM,2023,59.4998996
COM,2022,59.4927902
COM,2021,59.0937521
COM,2020,58.1003511
COM,2019,58.1216877
COM,2018,58.9314888
COM,2017,62.478104
COM,2016,61.4537187
COM,2015,64.2429749
COM,2014,65.6326741
COM,2013,61.8017529
COD,2023,32.0518364
COD,2022,34.3693483
COD,2021,38.0263926
COD,2020,35.0400198
COD,2019,37.7644428
COD,2018,33.49551
COD,2017,27.2322679
COD,2016,27.9914272
COD,2015,31.5476986
COD,2014,27.4916572
COD,2013,27.875614
COG,2023,62.4872904
COG,2022,63.4245459
COG,2021,57.0560333
COG,2020,56.0583227
COG,2019,55.7072394
COG,2018,54.1142196
COG,2017,52.7489317
COG,2016,52.8986092
COG,2015,52.942842
COG,2014,57.7930395
COG,2013,56.0282249
CRI,2023,86.1234989
