iso3,year,rule_of_law_score
BLZ,2016,46.9291631
BLZ,2015,46.4007377
BLZ,2014,45.9786366
BLZ,2013,51.2337045
BEN,2023,50.236747
BEN,2022,48.902081
BEN,2021,50.3349168
BEN,2020,50.1930266
BEN,2019,50.1605655
BEN,2018,49.5306211
BEN,2017,50.253937
BEN,2016,50.3226577
BEN,2015,49.8100954
BEN,2014,48.7295248
BEN,2013,48.5407458
BMU,2023,70.7380077
BMU,2022,70.7560652
BMU,2021,67.9791492
BMU,2020,68.1268531
BMU,2019,71.9881106
BMU,2018,71.9929416
BMU,2017,71.9551951
BMU,2016,71.9934769
BMU,2015,71.9778358
BMU,2014,56.271138
BMU,2013,74.7025552
BTN,2023,69.3564374
BTN,2022,68.7331053
BTN,2021,68.6385205
BTN,2020,68.1003555
BTN,2019,68.3559345
BTN,2018,68.4519547
BTN,2017,67.6460928
BTN,2016,65.8294927
BTN,2015,65.8653839
BTN,2014,62.9662083
BTN,2013,61.3797101
BOL,2023,36.2633408
BOL,2022,36.6979317
BOL,2021,37.8575493
BOL,2020,36.2750114
BOL,2019,35.5390215
BOL,2018,34.8524194
BOL,2017,35.3385702
BOL,2016,35.4306681
BOL,2015,35.664491
BOL,2014,37.3530279
BOL,2013,36.4204642
BIH,2023,50.8569691
BIH,2022,51.978064
BIH,2021,51.6732556
BIH,2020,51.7568806
BIH,2019,50.2438808
BIH,2018,51.4383622
BIH,2017,51.2952156
BIH,2016,53.3595052
BIH,2015,52.9927485
BIH,2014,55.4246777
BIH,2013,54.8127684
BWA,2023,62.683297
BWA,2022,62.8760173
BWA,2021,63.3669767
BWA,2020,62.727026
BWA,2019,64.7424819
BWA,2018,63.9036925
BWA,2017,63.9133752
BWA,2016,63.7015975
BWA,2015,64.2844001
BWA,2014,66.8667612
BWA,2013,67.1878595
BRA,2023,48.6517238
BRA,2022,49.3948665
BRA,2021,49.923063
BRA,2020,50.2151562
BRA,2019,50.3183068
BRA,2018,50.0545424
BRA,2017,52.1316368
BRA,2016,54.4077541
BRA,2015,53.0887791
BRA,2014,54.5209402
BRA,2013,54.6493028
BRN,2023,67.9504228
BRN,2022,67.955197
BRN,2021,66.6308506
BRN,2020,66.6615752
BRN,2019,61.9307848
BRN,2018,62.8251115
BRN,2017,62.0185628
BRN,2016,61.5373567
BRN,2015,63.4116557
BRN,2014,64.7787552
BRN,2013,65.0365199
BGR,2023,56.5070158
BGR,2022,55.2470323
BGR,2021,56.3150803
BGR,2020,54.373904
BGR,2019,54.5451867
BGR,2018,54.5437289
BGR,2017,52.9488922
BGR,2016,53.5548931
BGR,2015,53.3831888
BGR,2014,53.2654435
BGR,2013,52.9835993
BFA,2023,44.6675131
BFA,2022,46.1796214
BFA,2021,50.0617623
BFA,2020,49.7548697
BFA,2019,49.9337491
BFA,2018,49.9735678
BFA,2017,49.3951212
BFA,2016,48.5912867
BFA,2015,47.9267453
BFA,2014,47.4998958
BFA,2013,48.1539662
BDI,2023,34.4555905
BDI,2022,34.217088
BDI,2021,34.3794073
BDI,2020,34.2257226
BDI,2019,34.0729983
BDI,2018,33.1410129
BDI,2017,34.118975
BDI,2016,32.8130974
BDI,2015,34.2345535
BDI,2014,37.9703087
BDI,2013,36.8349702
CPV,2023,64.2359572
CPV,2022,65.1825854
CPV,2021,65.335697
CPV,2020,68.4750584
CPV,2019,70.1881997
CPV,2018,69.7019113
CPV,2017,69.0382597
CPV,2016,68.7590694
CPV,2015,68.6416993
CPV,2014,68.4376784
CPV,2013,67.2264373
KHM,2023,38.0414044
KHM,2022,37.7715096
KHM,2021,37.2119036
KHM,2020,37.2361621
KHM,2019,37.5048848
KHM,2018,35.9827479
KHM,2017,36.5191039
KHM,2016,35.7559521
KHM,2015,35.2317864
KHM,2014,36.3932885
KHM,2013,37.0912221
CMR,2023,35.6221974
CMR,2022,36.1043707
CMR,2021,35.977058
CMR,2020,35.8427577
CMR,2019,36.4970071
CMR,2018,37.3033286
CMR,2017,37.7178621
CMR,2016,38.2306034
CMR,2015,38.2038184
CMR,2014,38.7841822
CMR,2013,36.8357172
CAN,2023,81.6821735
CAN,2022,82.8712609
CAN,2021,83.6298227
CAN,2020,83.7891422
CAN,2019,85.917657
CAN,2018,86.271688
CAN,2017,86.440747
CAN,2016,86.7161028
CAN,2015,86.5750267
CAN,2014,85.2456806
CAN,2013,84.3252934
CYM,2023,71.2530001
CYM,2022,71.2598844
CYM,2021,71.6670122
CYM,2020,70.4596487
CYM,2019,70.4467079
CYM,2018,70.448207
CYM,2017,70.4364899
CYM,2016,70.4483739
CYM,2015,70.4435171
CYM,2014,65.5675562
CYM,2013,71.2893749
CAF,2023,27.2788236
CAF,2022,28.2686938
CAF,2021,30.3279906
CAF,2020,30.0750242
CAF,2019,29.7030372
CAF,2018,30.2298104
CAF,2017,29.336704
CAF,2016,27.8975037
CAF,2015,27.5777305
CAF,2014,25.8249305
CAF,2013,24.8509355
TCD,2023,31.9257703
TCD,2022,33.1810243
TCD,2021,33.8494949
TCD,2020,34.0153975
TCD,2019,34.22622
TCD,2018,33.601962
TCD,2017,34.2717165
TCD,2016,32.8620222
TCD,2015,33.5366095
TCD,2014,33.339855
TCD,2013,30.2671938
CHL,2023,68.4060469
CHL,2022,69.7653654
CHL,2021,69.9843269
CHL,2020,69.6875662
CHL,2019,72.6995012
CHL,2018,73.4538309
CHL,2017,73.6148869
CHL,2016,73.9904554
CHL,2015,74.2328028
CHL,2014,75.1671116
CHL,2013,75.435652
CHN,2023,47.4599153
CHN,2022,47.2602075
CHN,2021,47.69469
CHN,2020,48.1981013
CHN,2019,47.4720196
CHN,2018,48.0074945
CHN,2017,47.7494062
CHN,2016,46.2738931
CHN,2015,45.5698342
CHN,2014,45.0816784
CHN,2013,43.2818347
COL,2023,47.2427231
COL,2022,47.8491027
COL,2021,48.2391764
COL,2020,48.6606218
COL,2019,49.1724423
COL,2018,49.701606
COL,2017,50.6762137
COL,2016,50.9612969
COL,2015,50.0884527
COL,2014,49.8831049
COL,2013,48.6401238
COM,2023,37.4430915
COM,2022,36.6610836
COM,2021,37.9960336
COM,2020,38.612015
COM,2019,40.071992
COM,2018,41.2316613
COM,2017,42.7757247
COM,2016,44.2963609
COM,2015,43.8295051
COM,2014,43.0273572
COM,2013,40.357299
COD,2023,29.3321758
COD,2022,29.755029
COD,2021,30.6112254
COD,2020,29.1811037
COD,2019,28.5802161
COD,2018,28.4473323
COD,2017,29.4345692
COD,2016,30.6799615
COD,2015,29.9433623
COD,2014,30.2713691
COD,2013,29.1456204
COG,2023,36.6058149
COG,2022,36.1958852
COG,2021,35.7384609
COG,2020,35.4696245
COG,2019,35.9262313
COG,2018,36.227589
COG,2017,36.5595783
COG,2016,37.2240302
COG,2015,38.4429835
COG,2014,37.5683355
COG,2013,36.6064792
CRI,2023,68.0333663
CRI,2022,68.4538686
CRI,2021,67.4710513
CRI,2020,67.8366858
CRI,2019,66.9617832
CRI,2018,65.8900262
CRI,2017,66.277594
CRI,2016,65.8170374
CRI,2015,65.935817
CRI,2014,66.3685302
CRI,2013,64.8418686
CIV,2023,46.5987933
CIV,2022,46.6008431
CIV,2021,45.730157
CIV,2020,46.322799
CIV,2019,46.6400181
CIV,2018,46.2409862
CIV,2017,45.0161831
CIV,2016,45.2619071
CIV,2015,45.0609636
CIV,2014,45.6122775
CIV,2013,40.8276211
HRV,2023,64.2928024
HRV,2022,64.4429262
HRV,2021,64.0692267
HRV,2020,62.9659811
HRV,2019,62.3003726
HRV,2018,61.3604135
HRV,2017,62.8737248
HRV,2016,62.2101094
HRV,2015,62.70522
HRV,2014,63.1451927
HRV,2013,61.467008
CUB,2023,47.2236141
CUB,2022,48.3973496
CUB,2021,45.8007158
CUB,2020,47.0690861
CUB,2019,43.9178235
CUB,2018,42.6291721
CUB,2017,41.9221616
CUB,2016,42.3881207
CUB,2015,41.8095382
CUB,2014,42.414028
CUB,2013,41.8674883
CYP,2023,70.0296272
CYP,2022,70.1175877
CYP,2021,70.238085
CYP,2020,69.8256976
CYP,2019,71.732418
CYP,2018,71.6307148
CYP,2017,72.8891184
CYP,2016,71.3282643
CYP,2015,71.3469551
CYP,2014,71.1254568
CYP,2013,71.8278411
CZE,2023,76.9392272
CZE,2022,76.5724051
CZE,2021,77.0493137
CZE,2020,76.3197503
CZE,2019,76.1786363
CZE,2018,74.8691789
CZE,2017,76.42709
CZE,2016,75.6319934
CZE,2015,74.9931407
CZE,2014,73.436467
CZE,2013,71.7450163
DNK,2023,91.6330889
DNK,2022,91.4261629
DNK,2021,91.6166045
DNK,2020,90.9532076
DNK,2019,91.7336648
DNK,2018,90.0924779
DNK,2017,90.3096856
DNK,2016,90.4809476
DNK,2015,91.0728547
DNK,2014,89.8467883
DNK,2013,89.6258854
DJI,2023,39.0741189
DJI,2022,39.3829391
DJI,2021,39.2186888
DJI,2020,38.9839796
DJI,2019,39.6288457
DJI,2018,39.9847596
DJI,2017,39.578167
DJI,2016,39.7081509
DJI,2015,39.7062078
