ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct
AZE,Azerbaijan,2023,Middle East,Europe & Central Asia,Western Asia,10153958.0,58.5075350483702,8.01054873196477,43.5853062725148,72428470588.2353,7133.02838048328,23671.0936895744,39100411764.7059,,,3850.755711684636,53.9848645803892,,,,,8.78543049849081,5.64,89.0,0.06612954017518642,1.6973037755362963
BDI,Burundi,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,13689450.0,23.5534768372276,2.51029451549531,91.846666183644,3419558408.35408,249.795164039029,1147.42440486734,1986200811.62555,2661594589.43275,194.42670008165,145.08989123927915,58.0835468922888,2.199999998898261,1.4562866185215517,2013.0,2023.0,26.9414835762453,0.911,7.172299862,0.0033592113341102976,0.11995977927669353
BEL,Belgium,2023,Europe,Europe & Central Asia,Western Europe,11779946.0,87.551492636772,20.1452749547016,57.321807211007,650779364363.737,55244.68145811,72629.6179311762,336443869804.32,264356550636.968,22441.2362023534,28560.731076723103,51.6986075815816,1.0716567813051192,1.1835540151039714,2013.0,2023.0,4.04901077613941,5.547,94.62625074,0.5690190307663967,2.381179267792208
BEN,Benin,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,14111034.0,51.7457922964593,3.08788133145022,81.5677814531873,19673291004.1444,1394.17784721831,4133.3701351778,11926053876.8641,11744354896.0359,832.281666675589,845.1580427673904,60.6205330585091,6.040104460971851,4.11805424889351,2013.0,2023.0,2.73870078406075,1.641,32.39400101,0.020170234107186883,0.7202931256178977
BFA,Burkina Faso,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,23025776.0,27.7872478365158,2.62071297835956,81.8908186351026,20106062971.6533,873.198061670247,2761.57633646549,12885521524.4413,11001239987.6431,477.779336845939,559.6129105243315,64.087740810362,2.7646809435021735,3.1669891922543325,2013.0,2023.0,0.742910428668918,3.601,25.36120033,0.02179295753856825,0.7782417109536831
BGD,Bangladesh,2023,South & Southeast Asia,South Asia,Southern Asia,171466990.0,32.1578465036834,6.32054805417649,53.0958193080833,437415333018.291,2551.01773827307,9155.31731992295,299958948132.06,216469738741.462,1262.45721547606,1749.368482715303,68.5753162931573,1.9849663018375985,5.358278064186517,2013.0,2023.0,9.8835030377921,3.352,44.50274195,0.5073130030132029,6.340494183167292
BGR,Bulgaria,2023,Europe,Europe & Central Asia,Eastern Europe,6446596.0,73.7322671584613,21.8324383446666,57.1601451805102,102204457334.822,15854.0192893772,38829.297423161,58916359137.1963,42257485763.1347,6555.00759829447,9139.142446214451,57.6455867714129,4.945109477134513,3.472914669617766,2013.0,2023.0,9.44284140088564,4.319,80.38956462,0.09964375214216467,0.4169801429073043
BHR,Bahrain,2023,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,1577059.0,100.0,3.63800440284889,29.2488272145239,46192260638.2979,29290.1284215098,64223.977053306,17953780585.1064,17715777972.0523,11233.4275205,11384.342998649005,38.8675079699844,4.66792559262017,1.7353702153334538,2013.0,2023.0,0.0746206782192256,1.049,100.0,0.03036477624951697,0.779352906962425
BHS,"Bahamas, The",2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,399440.0,81.3213799173676,11.4979577684286,42.5030859572889,15271300000.0,38231.774484278,39122.340470849,9681400000.0,8145976720.55665,20393.4926911592,24237.432405367515,63.3960435588326,9.064240190033622,1.4565025428065148,2013.0,2023.0,3.05291578969743,8.645,92.38729858,0.016373907622884733,0.2195170885776318
BIH,Bosnia and Herzegovina,2023,Europe,Europe & Central Asia,Southern Europe,3185073.0,51.5657239834305,21.642423894209,53.5210215348666,27592361498.4057,8663.02326458629,23376.3069324282,19235275975.1117,15651130031.2899,4913.89994241572,6039.194698241358,69.7123222897147,3.500749313460161,1.796239052755677,2013.0,2023.0,6.1059011284828,10.668,83.3771539,0.03253213707905602,0.13613753874854936
BLR,Belarus,2023,Europe,Europe & Central Asia,Eastern Europe,9178298.0,78.8146420666327,17.0619745317958,50.9143686597634,72478760370.4258,7896.75388295584,30859.5916206484,39089829916.7041,38266184678.2747,4169.20268641034,4258.9410277051475,53.9328069587877,8.065882580240258,2.7013907106441026,2013.0,2023.0,5.0005990309131,3.461,91.51249979,0.06611164336257039,0.2766580132172295
BLZ,Belize,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,411106.0,41.9459437504976,4.84133634796907,46.7004478384213,3052362650.0,7424.75821321022,13741.2085585188,1943535200.0,1641071878.62449,3991.84608987582,4727.576829333554,63.6731418529184,1.0363843708293352,2.659797482589643,2013.0,2023.0,4.38984017487675,8.278,70.18720245,0.003287052061336666,0.04406792288844024
BMU,Bermuda,2023,North America,North America,Northern America,64698.0,100.0,20.9117747071007,53.3515050959943,8602360000.0,132961.760796315,113596.12110365,3916803000.0,3146076254.59575,48627.1021452866,60539.784846517665,45.5317261774676,4.902841018405724,-0.22525551039652703,2014.0,2023.0,,,,0.006624390119098249,0.01952716701903975
BOL,Bolivia,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,12244159.0,70.9151414044538,5.55046673477261,55.5037371721243,52340206946.4544,4274.70820547613,12902.7509503368,36097007727.9305,26673536407.6905,2178.47027367829,2948.1002107152067,68.9661157909804,2.5962491849047753,2.7382116330380457,2013.0,2023.0,2.57688800489192,3.024,77.30039978,0.06104995868362945,0.8184673748424379
BRA,Brazil,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,211140729.0,87.6159710235763,10.6336314676644,44.0290947589819,2191131765684.63,10377.5892792557,21193.0721417478,1378754834473.95,1254297015991.6,5940.57348353476,6530.027820799794,62.924323222668,3.2397615108792577,0.7423196055250214,2013.0,2023.0,4.59356282283204,7.947,84.15060238,2.3318532747621403,31.26203308674945
BRN,Brunei Darussalam,2023,South & Southeast Asia,East Asia & Pacific,South-eastern Asia,458949.0,74.8199193881365,6.51107912979343,37.998646921747,15095084656.1634,32890.5491812019,85102.6867427911,4165446659.91601,4421629710.2046,9634.25066882072,9076.055639986163,27.5947220886584,11.054127468483088,5.762981882445772,2013.0,2023.0,0.35706431153689,5.296,98.97039795,0.007044914869493926,0.08804868293465071
BTN,Bhutan,2023,South & Southeast Asia,South Asia,Southern Asia,786385.0,41.7352457989939,6.36869980988956,38.5621629050646,3012896789.79753,3831.32535564326,16228.5169143762,1788433835.66703,1277338582.19843,1624.31707395032,2274.2471380647266,59.3592798041788,7.210313538702784,5.247781507180838,2013.0,2023.0,4.22934419929251,3.126,90.02140045,0.003024733036012701,0.037803687480041495
BWA,Botswana,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,2480244.0,67.0212655349864,3.96966911931465,56.8649822627192,19413614554.6944,7827.30027960734,21029.4218686605,8238651404.56841,8031480157.39785,3238.18146819339,3321.7100432733273,42.4374934474848,5.5749409834090935,3.1539157721907074,2013.0,2023.0,5.0676154934383,23.381,,0.013933823314350474,0.49758654726396767
CAF,Central African Republic,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,5152421.0,43.6983692134165,2.09527735556521,105.177562449203,2555492085.94725,495.978897288721,1258.13048389217,2488154869.41114,2404126806.66887,466.601391204032,482.9098533313058,97.3649999972063,-4.565662639615131,6.02809311349517,2013.0,2023.0,2.97913852618937,6.181,13.8416996,0.00420815357109187,0.15027609856654386
CAN,Canada,2023,North America,North America,Northern America,40049088.0,82.5250564408346,19.3581192161771,53.0518429925194,2196593836347.42,54847.5370112652,64962.1919440095,1220073677750.06,1074792574057.88,26836.8801321487,30464.455963393226,55.5438906165214,2.2638212254588064,2.2868221615249595,2013.0,2023.0,3.87900159788426,5.415,94.14530182,2.0634798368616853,6.082660394449121
CHE,Switzerland,2023,Europe,Europe & Central Asia,Western Europe,8888822.0,85.1854212679815,19.6113808360035,52.9575219043034,928435275851.707,104449.75451772,93939.7784980038,453113313448.119,402404623481.285,45270.8608048721,50975.631354539335,48.8039743031577,1.406538872580465,1.2027508387122632,2013.0,2023.0,2.13540088016387,4.043,97.34436623,0.7663391180096593,3.2069064850871576
CHL,Chile,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,19658835.0,88.8158617217972,13.6933190598527,45.0908347497625,335802745366.38,17081.5180740049,33173.5278418356,203111329300.709,181407394695.136,9227.77950448923,10331.80904670643,60.4853093381066,-4.688378525688075,2.4153211745612246,2013.0,2023.0,7.58168251407962,9.013,94.45742345,0.34351706810287047,4.605367784124639
CHN,China,2023,East Asia,East Asia & Pacific,Eastern Asia,1410710000.0,65.5301448035523,14.3160774690688,44.7297141014082,18270356654533.2,12951.1782397043,25200.068112272,7229259522659.38,7197427910274.78,5101.98971459392,5124.553964074388,39.568245214664,9.654408543286653,7.13449799250554,2013.0,2023.0,0.234836828893051,4.67,90.6,12.226664284698954,66.9927110070024
CIV,Cote d'Ivoire,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,31165654.0,53.4075201638704,2.56824227080234,78.0774744464329,80780312569.1646,2591.9659048119,7243.14676270142,56659039298.9429,45957190597.3991,1474.61017815956,1817.996160098001,70.1396633621975,10.198916182084217,6.777087048890351,2013.0,2023.0,4.36972254867474,2.263,40.65284979,0.09582600403684248,3.4220134281226287
CMR,Cameroon,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,28372687.0,55.1286878511388,2.77483940805466,80.2951604071451,48814501547.4313,1720.47510154506,5415.22890256369,35956128705.7259,31028829973.402,1093.61619410252,1267.279644882626,73.6587029794592,2.676589119401074,4.021995826746427,2013.0,2023.0,7.38281384280984,3.607,42.24380112,0.06081169354681242,2.1716279834027326
COD,"Congo, Dem. Rep.",2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,105789731.0,44.3754734892194,3.06835640281401,96.6825341170883,69843655425.2929,660.21205238997,1732.04870835091,36086365224.4029,31910828935.9461,301.643917933264,341.1140654512384,51.6673490307249,3.199924176080482,3.48680643061674,2013.0,2023.0,,4.469,18.96789932,0.061031959285852574,2.179493826545487
COG,"Congo, Rep.",2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,6182885.0,63.6626757615625,2.91461025071629,77.9305853486992,15321055822.5167,2477.97845544866,6855.92386613313,6757854311.06645,5036736877.60294,814.625676784048,1092.993693246187,44.108280717408,4.900016359414239,2.5851896377932837,2013.0,2023.0,4.30174563591016,19.919,43.15039825,0.0114293885407395,0.4081514350384907
COL,Colombia,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,52321152.0,78.275571579544,9.37542803553496,42.8026198463432,366901643683.302,7012.49169137756,21281.7475207548,269707151368.888,271650733158.104,5191.9868499475,5154.839697889068,73.5093876008064,0.5132226006876905,3.804965377730296,2013.0,2023.0,11.7359044948689,9.591,77.33686322,0.45614890219860366,6.11536850425196
COM,Comoros,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,850387.0,33.1502180946901,4.47290468927676,72.0409311057792,1465977684.31307,1723.89474946474,3896.71858176845,1483940667.63092,1154614221.39259,1357.75149595723,1745.0180536989865,101.225324471857,3.6365732923707483,2.7297511499536187,2013.0,2023.0,8.37373955490996,3.833,31.92749977,0.002509751421243888,0.089624973419996
